oa_2011_code,ratio_oa_intersection_com
S00095053,1
S00095273,1
S00095211,1
S00095228,1
S00095058,1
S00095235,1
S00095225,1
S00095005,1
S00095133,1
S00095082,1
S00095631,1
S00095305,1
S00095314,1
S00095323,1
S00094937,1
S00095051,1
S00095634,1
S00095690,1
S00095325,1
S00095312,1
S00095059,1
S00095052,1
S00095085,1
S00095108,1
S00095313,1
S00095008,1
S00095002,0.0010743
S00095063,1
S00095077,1
S00095288,1
S00095286,1
S00095628,1
S00095324,1
S00095203,1
S00095355,1
S00095078,1
S00095106,1
S00095271,1
S00095197,1
S00095508,1
S00095828,1
S00095233,1
S00095192,1
S00095315,1
S00095356,1
S00095116,1
S00095686,1
S00095792,0.6799766
S00095784,1
S00095097,1
S00095076,1
S00094982,1
S00094971,0.045948
S00095777,1
S00095147,1
S00095333,1
S00095189,1
S00094883,0.9042152
S00095127,1
S00095791,0.919878
S00095281,1
S00094996,1
S00094911,1
S00095654,1
S00095072,1
S00095004,1
S00095209,1
S00094994,1
S00095049,1
S00095048,1
S00094935,0.9332302
S00095327,1
S00095109,1
S00094880,0.7264415
S00095123,1
S00094890,1
S00095094,1
S00095046,1
S00095098,1
S00095222,1
S00095064,1
S00095234,1
S00095348,1
S00095125,1
S00095113,1
S00095351,1
S00094924,0.0805267
S00095012,0.0490456
S00095231,1
S00095003,0.6709302
S00094989,0.4825337
S00094936,1
S00095282,1
S00095129,1
S00095311,1
S00095075,1
S00095627,1
S00095302,1
S00095708,0.8901598
S00094986,0.862754
S00094988,1
S00094915,0.1610272
S00094934,0.9236361
S00095237,1
S00095205,1
S00095131,1
S00095300,1
S00095370,0.7557729
S00094927,1
S00095050,1
S00095128,1
S00095278,1
S00095301,1
S00095290,1
S00095740,1
S00095107,1
S00095275,1
S00095685,1
S00095284,1
S00095144,1
S00095632,1
S00095184,1
S00094881,0.1226301
S00095186,1
S00094992,1
S00095682,1
S00095308,1
S00095022,0.1476027
S00095274,1
S00095623,0.9634329
S00095360,1
S00095202,1
S00095753,1
S00095151,1
S00095117,1
S00095011,0.2738816
S00095212,1
S00095299,1
S00095121,1
S00095762,1
S00095741,1
S00095069,1
S00095786,1
S00095272,1
S00095303,1
S00094929,0.5876069
S00095229,1
S00095223,1
S00095760,1
S00095065,1
S00095752,1
S00095122,1
S00095118,1
S00095198,1
S00095062,1
S00095785,1
S00095783,1
S00095088,1
S00095336,1
S00095079,1
S00095729,0.0443193
S00095756,1
S00095081,1
S00095366,0.4454948
S00095220,1
S00095061,1
S00094933,1
S00095001,0.038515
S00095104,1
S00095629,1
S00095095,1
S00095195,1
S00095068,1
S00095067,1
S00095119,1
S00095759,1
S00095110,1
S00095115,1
S00095014,0.0860379
S00094892,1
S00095191,1
S00095747,1
S00095138,1
S00094967,0.0202771
S00095217,1
S00095199,1
S00095126,1
S00094884,0.2922137
S00094984,0.9256438
S00094991,1
S00095347,1
S00095100,1
S00095287,1
S00094985,0.5880971
S00095326,1
S00095742,1
S00095080,1
S00095054,1
S00094931,0.8563275
S00095317,1
S00095353,1
S00095604,0.9466592
S00094930,0.9766062
S00095352,1
S00095196,1
S00095359,1
S00095092,1
S00094993,1
S00095148,1
S00095292,1
S00095657,1
S00095331,1
S00095368,1
S00095363,1
S00095764,1
S00095150,1
S00095751,1
S00095120,1
S00095778,1
S00095137,1
S00095779,1
S00095748,1
S00094919,0.0032346
S00095633,1
S00095187,1
S00095114,1
S00095135,1
S00095309,1
S00095345,1
S00095152,1
S00095318,1
S00095350,1
S00095328,1
S00095291,1
S00095321,1
S00095354,1
S00095757,1
S00095208,1
S00095744,1
S00095073,1
S00095334,1
S00095056,1
S00094888,1
S00095210,1
S00094999,1
S00094901,0.3504075
S00095507,0.9420423
S00095369,0.5387551
S00095132,1
S00095339,1
S00095238,1
S00095216,1
S00095763,1
S00095610,0.0418965
S00094921,0.0019011
S00095236,1
S00095362,1
S00095343,1
S00095185,1
S00095277,1
S00095722,1e-07
S00095102,1
S00095060,1
S00095289,1
S00095227,1
S00095758,1
S00095207,1
S00095219,1
S00095614,1
S00095364,0.6438934
S00095349,1
S00095149,1
S00094939,1
S00095332,1
S00095827,1
S00095293,1
S00095622,0.6111422
S00095218,1
S00095709,0.069129
S00095083,1
S00095344,1
S00095279,1
S00095781,1
S00095298,1
S00095055,1
S00095213,1
S00095086,1
S00095761,1
S00094997,0.8960808
S00094980,1
S00095224,1
S00095652,1
S00095285,1
S00095111,1
S00095749,1
S00095087,1
S00095071,1
S00095316,1
S00095361,1
S00095276,1
S00095070,1
S00094998,0.724319
S00094898,0.6027517
S00095307,1
S00095201,1
S00095146,1
S00095215,1
S00094895,1
S00095320,1
S00095139,1
S00095105,1
S00095140,1
S00095096,1
S00095506,1
S00094916,0.5417864
S00095656,1
S00095367,0.2826274
S00094995,1
S00095204,1
S00095093,1
S00095099,1
S00095190,1
S00095630,1
S00095310,1
S00094886,0.9072393
S00095066,1
S00094981,1
S00095340,1
S00095200,1
S00094885,0.0014807
S00095134,1
S00095651,1
S00095103,1
S00094987,0.9237386
S00095306,1
S00095689,1
S00095142,1
S00094932,0.6558992
S00094913,0.9718103
S00095660,1
S00095755,1
S00095141,1
S00095330,1
S00095346,1
S00095365,1
S00095659,1
S00095010,0.0029924
S00095214,1
S00095283,1
S00095226,1
S00095341,1
S00095145,1
S00095084,1
S00095090,1
S00095294,1
S00095745,1
S00095746,1
S00095206,1
S00095653,1
S00095091,1
S00095101,1
S00094928,1
S00095143,1
S00095661,1
S00095658,1
S00095662,1
S00095743,1
S00094878,0.4805235
S00095124,1
S00095322,1
S00095089,1
S00095335,1
S00095057,1
S00095280,1
S00095295,1
S00095188,1
S00095358,1
S00095329,1
S00095750,1
S00095605,0.1283464
S00095319,1
S00095296,1
S00094938,1
S00095130,1
S00095006,1
S00095007,1
S00094894,1
S00095505,1
S00094879,1
S00095193,1
S00094877,0.2057308
S00094912,0.948399
S00095655,1
S00095304,1
S00095337,1
S00094887,1
S00095338,1
S00095780,1
S00094893,1
S00094891,1
S00094990,0.8473946
S00094914,1
S00094889,1
S00095232,1
S00095221,1
S00095230,1
S00095782,1
S00095342,1
S00095194,1
S00095136,1
S00095357,1
S00095754,1
S00095074,1
S00095047,1
S00095112,1
S00095297,1
S00097125,0.0770531
S00097124,0.0807837
S00097193,0.5206787
S00098263,0.0028454
